artist,sale_year,sale_location,sale_price_adj,low_est_adj,high_est_adj,performance
Anselm Reyle,2006,London,73912.26482142859,59224.66872023809,82913.52169642858,1.247997944202793
Paul Pfeiffer,2006,London,39798.033883928576,35534.54760416667,47378.97409226191,1.1199814421743803
Tom Friedman,2006,London,82440.50552083334,71069.09520833334,94759.21632440477,1.1600049960895882
Johannes Kahrs,2006,London,184780.66205357143,71069.09520833334,94759.21632440477,2.600014274642186
Ronan and Erwan Bouroullec,2006,London,42641.20349702381,23688.852976190476,35534.54760416667,1.8000535324307045
Rosemarie Trockel,2006,London,255849.75726190477,142138.19041666668,189518.43264880954,1.8000071373773772
Ross Lovegrove,2006,London,284277.64897321427,165828.3115327381,213208.55376488098,1.7142889915992954
Christopher Wool,2006,London,470006.87965773814,189518.43264880954,284277.64897321427,2.480006155938893
Marlene Dumas,2006,London,549605.4837053572,426417.10752976197,592246.687202381,1.288891730625766
Richard Prince,2006,London,523072.1929761905,284277.64897321427,426417.10752976197,1.840004639292188
Franz West,2006,London,198993.97383928573,94759.21632440477,142138.19041666668,2.0999959849502874
Rudolf Stingel,2006,London,284277.64897321427,118449.33744047619,165828.3115327381,2.399993576089618
Tokujin Yoshioka,2006,London,36956.132410714294,23688.852976190476,35534.54760416667,1.5600642391701294
Huang Yong Ping,2006,London,142138.19041666668,94759.21632440477,142138.19041666668,1.4999933084615407
Damien Hirst,2006,London,363876.2530208333,189518.43264880954,284277.64897321427,1.9200045500372018
Gilbert & George,2006,London,0.0,142138.19041666668,189518.43264880954,0.0
Tim Noble and Sue Webster,2006,London,443474.8570684524,355348.0123214286,473797.34976190474,1.2480015131049305
Daniel Richter,2006,London,443474.8570684524,213208.55376488098,284277.64897321427,2.080004996125536
Wolfgang Tillmans,2006,London,85282.40699404762,71069.09520833334,94759.21632440477,1.1999928623271363
Chen Zhen,2006,London,119396.63793154764,71069.09520833334,118449.33744047619,1.6800078510180256
Piotr Uklański,2006,London,227421.86555059525,236898.67488095237,355348.0123214286,0.9599963598584103
Franz Ackermann,2006,London,363876.2530208333,355348.0123214286,473797.34976190474,1.0239996859232479
Marc Newson,2006,London,416941.56633928575,379038.13343750004,426417.10752976197,1.0999989962673127
Fang Lijun,2006,London,1133325.1983482144,592246.687202381,829146.6302232143,1.9136032717761773
Elizabeth Peyton,2006,London,1027193.3035714286,710696.0246428573,947595.9676636904,1.4453342469069894
Piotr Uklański,2006,London,1345586.451622024,592246.687202381,829146.6302232143,2.2720033402896753
Matthew Barney,2006,London,255849.75726190477,236898.67488095237,355348.0123214286,1.079996573976937
Karen Kilimnik,2006,London,337344.2304315476,284277.64897321427,355348.0123214286,1.186671662855446
Ghada Amer,2006,London,147824.52964285717,71069.09520833334,94759.21632440477,2.0800114197137494
Bill Viola,2006,London,894530.6543452381,829146.6302232143,1066045.3051041667,1.0788570100003099
Rachel Whiteread,2006,London,184780.66205357143,189518.43264880954,284277.64897321427,0.9750010036555784
Sarah Lucas,2006,London,54012.61380952381,23688.852976190476,35534.54760416667,2.2800856521424113
Darren Almond,2006,London,79597.3359077381,47378.97409226191,71069.09520833334,1.6800139179024152
Mona Hatoum,2006,London,142138.19041666668,71069.09520833334,94759.21632440477,1.9999999997185836
Chris Ofili,2006,London,814932.0502976191,710696.0246428573,947595.9676636904,1.1466675231449006
Zhang Xiaogang,2006,London,390409.54375000007,142138.19041666668,189518.43264880954,2.7466899823198747
Mariko Mori,2006,London,0.0,236898.67488095237,355348.0123214286,0.0
Ron Arad,2006,London,184780.66205357143,94759.21632440477,142138.19041666668,1.950002007208264
Takashi Murakami,2006,London,0.0,355348.0123214286,473797.34976190474,0.0
Richard Prince,2006,London,1027193.3035714286,710696.0246428573,947595.9676636904,1.4453342469069894
Mike Kelley,2006,London,602670.7970238096,473797.34976190474,710696.0246428573,1.2720011990652693
Paul McCarthy,2006,London,108025.22761904763,23688.852976190476,35534.54760416667,4.560171304284823
George Condo,2006,London,170566.08212797617,118449.33744047619,165828.3115327381,1.4399918631819284
Jack Pierson,2006,London,213208.55376488098,118449.33744047619,165828.3115327381,1.7999978586121155
Christopher Wool,2006,London,629202.8196130953,355348.0123214286,473797.34976190474,1.7706664953179636
Maurizio Cattelan,2006,London,443474.8570684524,473797.34976190474,710696.0246428573,0.936001134835283
Ronan and Erwan Bouroullec,2006,London,39798.033883928576,47378.97409226191,59224.66872023809,0.8399935760117816
Richard Long,2006,London,147824.52964285717,71069.09520833334,94759.21632440477,2.0800114197137494
Franz West,2006,London,170566.08212797617,142138.19041666668,189518.43264880954,1.2000017842915787
Gregor Schneider,2006,London,147824.52964285717,47378.97409226191,71069.09520833334,3.1200449660179514
Daniel Richter,2006,London,0.0,165828.3115327381,213208.55376488098,0.0
Albert Oehlen,2006,London,227421.86555059525,118449.33744047619,165828.3115327381,1.9199927196357733
Andreas Gursky,2006,London,523072.1929761905,284277.64897321427,426417.10752976197,1.840004639292188
Martin Kippenberger,2006,London,1027193.3035714286,947595.9676636904,1421393.3174255951,1.0839992344977432
Eberhard Havekost,2006,London,170566.08212797617,165828.3115327381,213208.55376488098,1.0285703360370828
Shiro Kuramata,2006,London,62540.854508928576,42641.20349702381,52116.7446875,1.466676579581693
Fang Lijun,2006,London,71069.09520833334,59224.66872023809,82913.52169642858,1.1999914348536977
Tom Friedman,2006,London,113710.29870535714,94759.21632440477,142138.19041666668,1.199991970217167
Maurizio Cattelan,2006,London,79597.3359077381,47378.97409226191,71069.09520833334,1.6800139179024152
Franz West,2006,London,85282.40699404762,35534.54760416667,47378.97409226191,2.3999857243165748
Magnus Plessen,2006,London,99496.98691964286,71069.09520833334,94759.21632440477,1.4000035685550154
Thomas Hirschhorn,2006,London,198993.97383928573,82913.52169642858,106603.64281250001,2.400018353385863
Thomas Struth,2006,London,119396.63793154764,59224.66872023809,82913.52169642858,2.015995031992265
Andreas Gursky,2006,London,170566.08212797617,142138.19041666668,189518.43264880954,1.2000017842915787
Martin Kippenberger,2006,London,184780.66205357143,118449.33744047619,165828.3115327381,1.5599974303851927
Anselm Kiefer,2006,London,0.0,284277.64897321427,426417.10752976197,0.0
Jörg Immendorff,2006,London,127924.87863095239,94759.21632440477,142138.19041666668,1.3499993307195173
Günther Förg,2006,London,156352.7703422619,23688.852976190476,35534.54760416667,6.600267663166657
Tobias Rehberger,2006,London,39798.033883928576,47378.97409226191,71069.09520833334,0.8399935760117816
